gender,agegroup,race,incomelevel,educationl,workingstatus,state,vote_trump,voteintention
Female,65+,White,Lower income,Some College,Not working,OR,1,Trump
Female,55-64,White,Middle income,Masters degree,Not working,IL,1,Trump
Female,65+,White,Middle income,Some College,Not working,TX,0,Biden
Female,45-54,White,Lower income,Masters degree,Working,CA,1,Trump
Female,65+,White,Upper income,Masters degree,Not working,FL,0,Biden
Female,45-54,White,Middle income,Masters degree,Working,GA,1,Trump
Male,30-44,White,Middle income,Masters degree,Working,IL,0,Biden
Female,55-64,White,Middle income,Masters degree,Not working,NY,0,Biden
Female,30-44,White,Middle income,Some College,Not working,MI,0,Biden
Female,65+,White,Middle income,High School Graduate,Not working,SC,0,Biden
Female,30-44,White,Middle income,High School Graduate,Not working,IL,1,Trump
Female,65+,White,Middle income,High School Graduate,Not working,MA,0,Biden
Female,30-44,Others,Middle income,Masters degree,Working,MO,0,Biden
Female,45-54,White,Middle income,Masters degree,Working,CO,0,Biden
Female,55-64,White,Middle income,College Degree,Working,NC,1,Trump
Female,65+,White,Middle income,Masters degree,Not working,NY,0,Biden
Female,55-64,White,Middle income,High School Graduate,Working,IN,1,Trump
Female,30-44,Others,Middle income,College Degree,Working,CA,0,Biden
Female,18-29,White,Upper income,Some College,Not working,FL,1,Trump
Female,45-54,White,Middle income,Masters degree,Working,IL,1,Trump
Female,55-64,White,Lower income,Some College,Not working,OH,0,Biden
Male,45-54,White,Middle income,Masters degree,Working,NY,1,Trump
Female,55-64,White,Upper income,Masters degree,Working,WI,1,Trump
Female,18-29,White,Middle income,College Degree,Not working,CT,0,Biden
Female,55-64,White,Lower income,High School Graduate,Working,PA,1,Trump
Female,30-44,White,Middle income,Masters degree,Working,DC,0,Biden
Male,65+,White,Middle income,Masters degree,Not working,PA,0,Biden
Male,18-29,White,Middle income,Some College,Not working,GA,1,Trump
Female,30-44,White,Upper income,Masters degree,Working,NY,0,Biden
Male,30-44,White,Upper income,Masters degree,Working,FL,1,Trump
Male,18-29,Black,Lower income,High School Graduate,Not working,FL,0,Biden
Male,45-54,Others,Lower income,Some College,Not working,NY,0,Biden
Female,55-64,White,Lower income,Some College,Not working,GA,1,Trump
Female,55-64,White,Middle income,Some College,Working,IL,1,Trump
Male,65+,White,Middle income,Some College,Not working,NM,0,Biden
Female,55-64,White,Middle income,College Degree,Not working,TN,0,Biden
Female,30-44,White,Middle income,College Degree,Not working,NC,1,Trump
Female,65+,White,Middle income,Some College,Working,VA,1,Trump
Male,30-44,White,Middle income,College Degree,Working,MN,1,Trump
Male,30-44,White,Lower income,Some College,Not working,AZ,0,Biden
Female,30-44,White,Middle income,Masters degree,Not working,PA,0,Biden
Female,18-29,White,Lower income,Some College,Working,OK,0,Biden
Female,55-64,White,Middle income,Masters degree,Not working,IL,1,Trump
Male,45-54,White,Middle income,Masters degree,Working,FL,1,Trump
Female,45-54,White,Middle income,Doctorate degree,Not working,TX,1,Trump
Female,18-29,White,Middle income,College Degree,Not working,IN,1,Trump
Male,45-54,White,Lower income,College Degree,Working,OH,1,Trump
Male,18-29,Black,Middle income,High School Graduate,Working,OH,0,Biden
Male,65+,White,Middle income,Some College,Not working,AZ,0,Biden
Female,45-54,White,Upper income,College Degree,Working,NJ,1,Trump
Male,65+,White,Middle income,Some College,Not working,CO,0,Biden
Male,55-64,Others,Middle income,Masters degree,Working,PA,0,Biden
Female,45-54,White,Middle income,Some College,Working,OH,0,Biden
Female,30-44,White,Upper income,Masters degree,Working,FL,0,Biden
Female,65+,Black,Middle income,Some College,Not working,NJ,0,Biden
Male,65+,White,Middle income,Some College,Not working,TX,1,Trump
Female,65+,White,Middle income,Masters degree,Working,IN,0,Biden
Male,65+,White,Middle income,Masters degree,Not working,MT,1,Trump
Female,65+,White,Lower income,Some College,Not working,PA,0,Biden
Male,65+,White,Middle income,College Degree,Not working,CA,0,Biden
Male,65+,Others,Middle income,College Degree,Working,CA,1,Trump
Female,65+,White,Middle income,Some College,Not working,TN,1,Trump
Female,55-64,White,Lower income,Some College,Working,NC,0,Biden
Female,18-29,White,Lower income,High School Graduate,Working,PA,1,Trump
Female,30-44,Others,Middle income,Some College,Working,CT,0,Biden
Female,30-44,Black,Middle income,Doctorate degree,Not working,TN,1,Trump
Male,18-29,White,Middle income,High School Graduate,Working,PA,0,Biden
Female,65+,White,Upper income,College Degree,Not working,NJ,0,Biden
Female,55-64,White,Upper income,College Degree,Working,TN,1,Trump
Female,55-64,White,Middle income,Some College,Working,IL,0,Biden
Female,30-44,White,Lower income,High School Graduate,Working,CT,0,Biden
Female,55-64,White,Middle income,Some College,Not working,WI,0,Biden
Female,30-44,White,Middle income,College Degree,Not working,FL,0,Biden
Male,18-29,Black,Upper income,High School Graduate,Not working,NV,0,Biden
Female,65+,White,Lower income,Some College,Not working,VT,0,Biden
Male,18-29,White,Upper income,College Degree,Working,NY,0,Biden
Female,45-54,White,Middle income,College Degree,Working,NJ,0,Biden
Female,18-29,White,Lower income,High School Graduate,Not working,KY,1,Trump
Female,55-64,White,Middle income,Some College,Working,IL,0,Biden
Female,65+,White,Middle income,Masters degree,Not working,MO,0,Biden
Female,45-54,White,Upper income,Masters degree,Working,FL,1,Trump
Female,65+,White,Middle income,Some College,Not working,MT,0,Biden
Female,30-44,Black,Lower income,High School Graduate,Working,WI,0,Biden
Male,45-54,White,Upper income,High School Graduate,Not working,SC,0,Biden
Female,55-64,White,Upper income,Some College,Not working,MO,0,Biden
Female,65+,White,Middle income,Some College,Not working,TX,1,Trump
Male,45-54,Black,Lower income,Some College,Not working,TN,0,Biden
Female,18-29,White,Middle income,Some College,Working,UT,0,Biden
Male,30-44,White,Middle income,Some College,Not working,MN,0,Biden
Female,65+,White,Middle income,Some College,Not working,GA,1,Trump
Female,45-54,White,Upper income,College Degree,Working,VA,1,Trump
Female,65+,White,Middle income,High School Graduate,Not working,WV,1,Trump
Female,18-29,Others,Middle income,High School Graduate,Not working,UT,1,Trump
Female,55-64,White,Middle income,Some College,Not working,AZ,0,Biden
Male,55-64,White,Lower income,College Degree,Not working,MA,0,Biden
Female,55-64,White,Middle income,Some College,Working,IL,1,Trump
Male,30-44,White,Middle income,Masters degree,Working,IN,0,Biden
Female,65+,White,Middle income,College Degree,Not working,CA,0,Biden
Female,30-44,Black,Middle income,Doctorate degree,Not working,TX,0,Biden
Female,65+,White,Lower income,High School Graduate,Not working,NY,0,Biden
Male,30-44,White,Lower income,High School Graduate,Working,CO,1,Trump
Female,30-44,Others,Upper income,College Degree,Working,HI,0,Biden
Male,55-64,White,Middle income,High School Graduate,Not working,CA,0,Biden
Male,18-29,White,Middle income,Doctorate degree,Working,CA,0,Biden
Female,55-64,White,Upper income,Masters degree,Working,CA,0,Biden
Male,30-44,White,Middle income,College Degree,Working,CA,1,Trump
Male,30-44,Black,Middle income,Some College,Working,DC,0,Biden
Female,65+,White,Middle income,Masters degree,Not working,FL,0,Biden
Male,30-44,White,Upper income,Masters degree,Working,TX,1,Trump
Male,30-44,White,Lower income,Some College,Working,GA,1,Trump
Male,18-29,Black,Middle income,High School Graduate,Not working,NY,0,Biden
Female,30-44,White,Middle income,College Degree,Working,OH,0,Biden
Male,55-64,White,Middle income,High School Graduate,Working,IL,0,Biden
Male,30-44,Black,Middle income,College Degree,Working,MN,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,GA,0,Biden
Female,45-54,White,Lower income,High School Graduate,Not working,MO,1,Trump
Female,30-44,Others,Middle income,Masters degree,Working,CA,0,Biden
Female,18-29,White,Middle income,Some College,Not working,CA,0,Biden
Male,55-64,White,Middle income,College Degree,Working,PA,1,Trump
Male,55-64,White,Middle income,Some College,Working,WI,0,Biden
Male,30-44,White,Upper income,College Degree,Working,NY,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,PA,0,Biden
Male,18-29,White,Lower income,High School Graduate,Working,NY,0,Biden
Female,30-44,White,Middle income,College Degree,Working,MN,0,Biden
Male,30-44,White,Lower income,High School Graduate,Working,OH,0,Biden
Male,30-44,White,Lower income,College Degree,Working,NH,0,Biden
Female,18-29,White,Lower income,High School Graduate,Working,CO,0,Biden
Male,30-44,White,Upper income,Masters degree,Working,VA,1,Trump
Female,45-54,Black,Lower income,High School Graduate,Not working,MI,0,Biden
Female,18-29,Others,Middle income,Some College,Not working,PA,0,Biden
Female,65+,White,Middle income,Masters degree,Not working,CA,0,Biden
Female,55-64,White,Lower income,High School Graduate,Not working,AZ,1,Trump
Male,30-44,White,Upper income,College Degree,Working,KY,1,Trump
Female,30-44,White,Middle income,College Degree,Working,NV,0,Biden
Male,18-29,White,Lower income,Some College,Working,IL,0,Biden
Male,45-54,White,Upper income,Masters degree,Working,VA,0,Biden
Female,65+,White,Middle income,College Degree,Working,IN,1,Trump
Female,65+,White,Middle income,Some College,Working,CA,0,Biden
Male,30-44,Others,Upper income,Masters degree,Working,NJ,0,Biden
Male,30-44,White,Lower income,Some College,Not working,FL,0,Biden
Male,30-44,Others,Lower income,High School Graduate,Working,TX,1,Trump
Female,55-64,White,Lower income,High School Graduate,Not working,OH,0,Biden
Male,18-29,Black,Lower income,High School Graduate,Working,FL,0,Biden
Male,55-64,White,Lower income,Some College,Not working,MI,0,Biden
Male,30-44,White,Middle income,Some College,Working,CA,0,Biden
Male,18-29,White,Lower income,Some College,Working,IA,0,Biden
Female,18-29,White,Lower income,College Degree,Not working,MA,0,Biden
Female,65+,White,Middle income,Masters degree,Not working,CA,0,Biden
Male,30-44,White,Lower income,High School Graduate,Working,TN,1,Trump
Female,45-54,White,Upper income,College Degree,Not working,CA,0,Biden
Male,18-29,White,Middle income,College Degree,Working,MO,0,Biden
Female,30-44,White,Middle income,College Degree,Not working,OH,1,Trump
Male,18-29,Others,Lower income,Some College,Not working,TX,0,Biden
Male,65+,Black,Upper income,High School Graduate,Not working,MD,0,Biden
Female,65+,White,Middle income,Some College,Not working,AZ,0,Biden
Male,18-29,White,Lower income,High School Graduate,Working,CA,0,Biden
Male,55-64,White,Middle income,Some College,Not working,WI,1,Trump
Male,30-44,Black,Lower income,Masters degree,Working,AL,0,Biden
Male,45-54,White,Lower income,Some College,Working,SC,1,Trump
Female,30-44,White,Middle income,High School Graduate,Not working,ID,1,Trump
Female,30-44,White,Upper income,College Degree,Working,LA,1,Trump
Male,30-44,White,Middle income,Some College,Working,FL,1,Trump
Male,30-44,Black,Middle income,High School Graduate,Not working,MO,0,Biden
Male,18-29,White,Lower income,High School Graduate,Not working,MN,1,Trump
Male,18-29,White,Middle income,Masters degree,Working,WA,0,Biden
Female,45-54,Others,Middle income,Some College,Working,NJ,0,Biden
Male,65+,White,Lower income,Some College,Not working,PA,1,Trump
Male,30-44,White,Upper income,College Degree,Working,VA,1,Trump
Male,65+,White,Lower income,Some College,Not working,FL,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,CA,0,Biden
Female,45-54,Black,Lower income,Some College,Not working,IL,0,Biden
Female,65+,White,Lower income,High School Graduate,Not working,OR,1,Trump
Female,65+,White,Middle income,College Degree,Not working,NJ,0,Biden
Female,30-44,White,Middle income,Masters degree,Working,SC,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,CA,1,Trump
Female,30-44,White,Middle income,College Degree,Working,PA,0,Biden
Male,65+,White,Middle income,College Degree,Not working,WA,0,Biden
Male,30-44,White,Middle income,College Degree,Working,FL,0,Biden
Male,45-54,White,Middle income,Masters degree,Working,CA,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,NY,1,Trump
Female,65+,White,Middle income,Some College,Not working,TX,0,Biden
Female,30-44,White,Lower income,High School Graduate,Not working,TX,1,Trump
Female,18-29,White,Lower income,Some College,Not working,TX,0,Biden
Male,65+,White,Middle income,Masters degree,Not working,FL,1,Trump
Female,30-44,White,Middle income,Some College,Not working,CA,0,Biden
Male,30-44,White,Lower income,High School Graduate,Not working,OH,0,Biden
Male,55-64,Black,Lower income,High School Graduate,Working,CO,0,Biden
Female,30-44,Black,Middle income,Masters degree,Working,CA,0,Biden
Male,18-29,Black,Middle income,Some College,Working,FL,0,Biden
Male,18-29,White,Lower income,High School Graduate,Working,CA,0,Biden
Female,65+,White,Middle income,Some College,Not working,MD,1,Trump
Male,55-64,White,Upper income,Some College,Working,TX,0,Biden
Female,18-29,White,Lower income,Some College,Working,NY,1,Trump
Female,30-44,White,Upper income,College Degree,Not working,CA,1,Trump
Female,18-29,Others,Middle income,Some College,Working,OH,0,Biden
Male,55-64,White,Middle income,Doctorate degree,Working,OH,1,Trump
Male,18-29,Black,Lower income,Some College,Working,IL,0,Biden
Male,45-54,White,Lower income,Some College,Working,CA,0,Biden
Female,45-54,White,Middle income,College Degree,Working,IL,0,Biden
Male,30-44,White,Middle income,High School Graduate,Not working,NC,1,Trump
Male,45-54,White,Upper income,College Degree,Working,IA,0,Biden
Female,55-64,White,Middle income,College Degree,Not working,CA,0,Biden
Male,65+,White,Lower income,High School Graduate,Not working,GA,1,Trump
Female,30-44,Black,Lower income,Some College,Working,SC,0,Biden
Male,65+,White,Middle income,Some College,Not working,OH,0,Biden
Male,30-44,White,Middle income,Masters degree,Working,VA,0,Biden
Male,65+,White,Lower income,Some College,Not working,IN,0,Biden
Male,30-44,White,Upper income,Masters degree,Working,GA,1,Trump
Female,65+,White,Upper income,High School Graduate,Not working,MA,1,Trump
Female,30-44,White,Upper income,College Degree,Working,MD,1,Trump
Female,30-44,White,Middle income,High School Graduate,Not working,OH,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,NC,1,Trump
Female,18-29,Others,Lower income,College Degree,Not working,WI,0,Biden
Female,18-29,Black,Lower income,High School Graduate,Working,IL,0,Biden
Female,30-44,Black,Upper income,College Degree,Working,NY,0,Biden
Male,30-44,Others,Middle income,Some College,Working,CA,0,Biden
Female,30-44,White,Middle income,Masters degree,Working,NY,1,Trump
Male,30-44,White,Middle income,College Degree,Working,NY,1,Trump
Female,18-29,White,Middle income,Some College,Working,FL,1,Trump
Female,18-29,Others,Lower income,High School Graduate,Working,NV,0,Biden
Female,18-29,Black,Lower income,Some College,Working,NC,0,Biden
Male,65+,Black,Lower income,Some College,Not working,MI,0,Biden
Female,55-64,White,Middle income,Some College,Working,AZ,1,Trump
Female,18-29,White,Middle income,Some College,Not working,MI,0,Biden
Male,18-29,White,Middle income,Masters degree,Working,CA,0,Biden
Female,18-29,Others,Lower income,High School Graduate,Not working,CA,0,Biden
Male,65+,White,Middle income,Masters degree,Not working,CA,0,Biden
Male,18-29,Others,Middle income,High School Graduate,Not working,CA,0,Biden
Female,18-29,Black,Upper income,Some College,Not working,TX,0,Biden
Male,30-44,White,Middle income,College Degree,Working,TX,0,Biden
Female,30-44,Others,Middle income,Some College,Working,OR,0,Biden
Male,18-29,White,Lower income,High School Graduate,Working,FL,0,Biden
Female,45-54,White,Lower income,Some College,Working,IN,1,Trump
Male,30-44,White,Middle income,Some College,Working,FL,0,Biden
Male,30-44,White,Middle income,College Degree,Working,MN,0,Biden
Female,18-29,White,Middle income,Some College,Not working,FL,0,Biden
Female,18-29,White,Lower income,College Degree,Working,CA,0,Biden
Male,30-44,White,Lower income,Some College,Not working,WV,1,Trump
Male,65+,White,Lower income,Some College,Not working,KS,1,Trump
Female,18-29,Black,Lower income,College Degree,Working,CA,0,Biden
Female,65+,White,Lower income,High School Graduate,Not working,KY,0,Biden
Female,18-29,White,Upper income,Some College,Not working,TX,0,Biden
Female,30-44,Black,Lower income,High School Graduate,Working,OK,0,Biden
Male,30-44,Black,Middle income,High School Graduate,Not working,TX,0,Biden
Male,30-44,White,Lower income,Some College,Not working,CA,0,Biden
Male,55-64,Others,Middle income,High School Graduate,Not working,NY,0,Biden
Female,18-29,Others,Middle income,High School Graduate,Working,CA,0,Biden
Male,65+,White,Middle income,High School Graduate,Working,PA,1,Trump
Male,45-54,Black,Lower income,High School Graduate,Working,GA,0,Biden
Male,30-44,White,Middle income,College Degree,Working,OH,0,Biden
Male,65+,White,Middle income,High School Graduate,Not working,OH,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,NJ,0,Biden
Female,30-44,Black,Lower income,High School Graduate,Working,TX,1,Trump
Female,30-44,White,Middle income,Some College,Working,PA,0,Biden
Female,45-54,White,Middle income,Some College,Not working,NC,0,Biden
Male,30-44,White,Middle income,College Degree,Working,VA,0,Biden
Male,30-44,White,Upper income,Masters degree,Working,NY,1,Trump
Male,30-44,White,Upper income,College Degree,Working,CA,1,Trump
Female,65+,White,Upper income,College Degree,Not working,VA,0,Biden
Male,45-54,White,Middle income,College Degree,Working,NC,1,Trump
Male,30-44,White,Upper income,Masters degree,Working,FL,0,Biden
Female,30-44,White,Upper income,College Degree,Working,TX,1,Trump
Female,45-54,Others,Middle income,Doctorate degree,Working,MA,0,Biden
Male,30-44,White,Middle income,Some College,Working,NY,0,Biden
Female,45-54,White,Middle income,High School Graduate,Not working,KY,1,Trump
Male,65+,White,Middle income,Some College,Not working,AZ,0,Biden
Male,45-54,Black,Middle income,Masters degree,Working,NY,0,Biden
Female,65+,White,Middle income,Some College,Not working,FL,0,Biden
Male,30-44,White,Middle income,High School Graduate,Not working,TX,0,Biden
Female,18-29,White,Middle income,College Degree,Not working,TX,1,Trump
Male,30-44,White,Lower income,High School Graduate,Working,WI,0,Biden
Male,30-44,White,Middle income,Doctorate degree,Working,FL,1,Trump
Male,18-29,White,Middle income,College Degree,Not working,CA,0,Biden
Female,18-29,Black,Middle income,College Degree,Not working,CT,0,Biden
Male,30-44,White,Middle income,College Degree,Working,NC,0,Biden
Female,18-29,Others,Lower income,College Degree,Working,CA,0,Biden
Male,18-29,White,Middle income,High School Graduate,Working,NV,0,Biden
Female,55-64,White,Upper income,Some College,Not working,CA,0,Biden
Female,30-44,Others,Middle income,Masters degree,Working,NJ,0,Biden
Female,18-29,White,Lower income,Some College,Working,TX,0,Biden
Female,18-29,White,Middle income,College Degree,Working,CA,0,Biden
Male,65+,Black,Middle income,Some College,Not working,CT,0,Biden
Female,45-54,White,Middle income,College Degree,Not working,NV,0,Biden
Male,55-64,Black,Lower income,High School Graduate,Working,MS,0,Biden
Female,55-64,White,Lower income,College Degree,Not working,KY,0,Biden
Male,65+,White,Middle income,College Degree,Not working,TX,1,Trump
Female,45-54,White,Middle income,College Degree,Working,CA,1,Trump
Female,18-29,White,Lower income,College Degree,Working,OR,0,Biden
Male,30-44,Others,Middle income,College Degree,Working,NJ,1,Trump
Female,18-29,Others,Middle income,College Degree,Not working,CA,0,Biden
Male,30-44,Black,Lower income,Some College,Working,CA,0,Biden
Male,45-54,White,Middle income,Some College,Working,SC,1,Trump
Female,55-64,Others,Middle income,College Degree,Working,HI,0,Biden
Female,55-64,White,Lower income,Some College,Not working,TX,1,Trump
Male,18-29,White,Middle income,College Degree,Working,NY,1,Trump
Male,55-64,White,Lower income,High School Graduate,Not working,AZ,1,Trump
Male,30-44,White,Upper income,Doctorate degree,Working,IN,1,Trump
Female,30-44,White,Middle income,College Degree,Working,CA,1,Trump
Female,65+,White,Middle income,College Degree,Not working,NC,0,Biden
Male,45-54,White,Upper income,College Degree,Not working,CA,1,Trump
Female,30-44,White,Lower income,Some College,Not working,LA,0,Biden
Male,65+,White,Middle income,Masters degree,Not working,MT,1,Trump
Male,30-44,White,Lower income,High School Graduate,Working,OH,1,Trump
Male,18-29,Black,Lower income,Some College,Working,KS,0,Biden
Male,30-44,White,Upper income,Masters degree,Working,MD,1,Trump
Female,45-54,White,Middle income,Masters degree,Working,MN,0,Biden
Male,30-44,Black,Lower income,Some College,Working,CA,0,Biden
Female,55-64,Black,Middle income,Some College,Not working,MD,0,Biden
Male,30-44,White,Lower income,High School Graduate,Working,AL,1,Trump
Male,55-64,White,Lower income,Some College,Not working,FL,0,Biden
Female,18-29,Others,Lower income,College Degree,Not working,CA,0,Biden
Male,30-44,Others,Middle income,College Degree,Working,TX,0,Biden
Female,18-29,White,Middle income,Masters degree,Working,AR,1,Trump
Male,65+,White,Middle income,Masters degree,Working,FL,0,Biden
Female,45-54,White,Middle income,College Degree,Working,IL,1,Trump
Male,18-29,Others,Lower income,High School Graduate,Working,NJ,0,Biden
Male,18-29,Black,Lower income,High School Graduate,Working,NV,0,Biden
Male,55-64,White,Middle income,College Degree,Not working,NY,0,Biden
Female,65+,Black,Middle income,College Degree,Not working,MA,1,Trump
Male,30-44,White,Upper income,College Degree,Working,SD,1,Trump
Male,55-64,White,Middle income,Some College,Working,WI,1,Trump
Male,18-29,Others,Lower income,High School Graduate,Working,TX,1,Trump
Female,18-29,Others,Lower income,Some College,Working,MN,1,Trump
Male,65+,Black,Lower income,Some College,Not working,PA,0,Biden
Male,18-29,White,Middle income,College Degree,Working,NV,0,Biden
Male,45-54,Black,Lower income,High School Graduate,Working,GA,0,Biden
Male,30-44,White,Lower income,High School Graduate,Not working,NY,0,Biden
Male,65+,White,Lower income,Masters degree,Not working,AL,1,Trump
Male,30-44,White,Middle income,High School Graduate,Working,TX,1,Trump
Male,18-29,White,Middle income,High School Graduate,Not working,MO,0,Biden
Female,18-29,Others,Lower income,College Degree,Working,CA,0,Biden
Male,30-44,White,Middle income,Some College,Working,CO,0,Biden
Female,18-29,Black,Middle income,High School Graduate,Not working,SC,0,Biden
Female,18-29,Black,Lower income,Some College,Not working,VA,0,Biden
Female,18-29,White,Upper income,Some College,Not working,DE,0,Biden
Male,30-44,White,Upper income,Masters degree,Working,NV,1,Trump
Male,65+,White,Upper income,Some College,Working,TX,1,Trump
Male,18-29,White,Middle income,Some College,Not working,AL,0,Biden
Female,65+,White,Middle income,Masters degree,Not working,FL,1,Trump
Female,65+,White,Middle income,Masters degree,Working,IL,1,Trump
Female,30-44,White,Middle income,College Degree,Working,TX,0,Biden
Female,45-54,White,Middle income,Some College,Not working,AZ,0,Biden
Female,30-44,White,Middle income,College Degree,Working,MI,0,Biden
Female,18-29,White,Lower income,High School Graduate,Working,MI,0,Biden
Female,18-29,Black,Lower income,High School Graduate,Working,IL,1,Trump
Male,30-44,Black,Lower income,Some College,Working,TN,0,Biden
Male,30-44,Others,Lower income,High School Graduate,Working,PA,0,Biden
Male,18-29,White,Lower income,High School Graduate,Not working,TX,0,Biden
Female,18-29,Black,Middle income,High School Graduate,Working,GA,0,Biden
Male,18-29,Black,Lower income,College Degree,Working,CO,0,Biden
Male,30-44,White,Lower income,High School Graduate,Working,LA,1,Trump
Male,45-54,White,Lower income,High School Graduate,Not working,OH,0,Biden
Male,30-44,White,Middle income,High School Graduate,Working,OH,0,Biden
Female,18-29,Others,Upper income,Masters degree,Working,FL,0,Biden
Male,30-44,White,Middle income,College Degree,Working,NY,0,Biden
Male,30-44,Others,Middle income,High School Graduate,Working,CA,0,Biden
Male,45-54,White,Middle income,Some College,Working,IL,0,Biden
Female,30-44,White,Middle income,College Degree,Working,CA,0,Biden
Male,30-44,White,Middle income,Some College,Working,MI,0,Biden
Male,30-44,White,Middle income,College Degree,Working,VA,0,Biden
Female,18-29,White,Lower income,Some College,Working,NJ,0,Biden
Female,30-44,White,Middle income,High School Graduate,Not working,NY,0,Biden
Male,55-64,Others,Middle income,College Degree,Working,MD,0,Biden
Male,30-44,Black,Middle income,Some College,Working,MI,0,Biden
Female,18-29,White,Lower income,Some College,Working,NH,0,Biden
Female,30-44,Black,Middle income,Some College,Working,FL,0,Biden
Male,18-29,White,Middle income,College Degree,Working,AZ,0,Biden
Male,30-44,Others,Lower income,High School Graduate,Not working,VA,1,Trump
Female,45-54,White,Middle income,Some College,Working,TX,1,Trump
Male,55-64,White,Middle income,Masters degree,Working,KY,1,Trump
Male,30-44,White,Middle income,Some College,Working,CA,0,Biden
Male,30-44,Others,Middle income,College Degree,Working,CA,0,Biden
Female,18-29,Others,Upper income,College Degree,Working,NY,0,Biden
Male,55-64,White,Lower income,Some College,Not working,MO,0,Biden
Female,45-54,White,Lower income,Some College,Not working,IL,0,Biden
Female,18-29,White,Lower income,Some College,Not working,IA,0,Biden
Female,45-54,Others,Lower income,High School Graduate,Working,TX,1,Trump
Female,30-44,White,Lower income,High School Graduate,Working,AZ,0,Biden
Male,30-44,Others,Lower income,High School Graduate,Not working,NM,0,Biden
Male,30-44,Black,Middle income,Some College,Working,NV,0,Biden
Male,45-54,White,Middle income,College Degree,Working,GA,1,Trump
Male,30-44,White,Middle income,College Degree,Not working,MA,0,Biden
Male,30-44,White,Lower income,High School Graduate,Not working,IL,0,Biden
Male,18-29,White,Lower income,Some College,Not working,AZ,0,Biden
Male,45-54,White,Lower income,High School Graduate,Working,NC,0,Biden
Male,55-64,White,Middle income,Some College,Not working,LA,1,Trump
Male,30-44,White,Middle income,College Degree,Working,AZ,1,Trump
